Searial_No,Female_Name,Husband_Name,Surname,Postal_Code,Place_Name,State
1,Mary,James,Smith,210,Portsmouth,New Hampshire
2,Patricia,John,Johnson,211,Portsmouth,New Hampshire
3,Linda,John,Johnson,212,Portsmouth,New Hampshire
4,Barbara,John,Johnson,213,Portsmouth,New Hampshire
5,Elizabeth,John,Johnson,214,Portsmouth,New Hampshire
6,Jennifer,John,Johnson,215,Portsmouth,New Hampshire
7,Maria,John,Johnson,401,Pleasantville,New York
8,Susan,John,Johnson,501,Holtsville,New York
9,Margaret,John,Johnson,544,Holtsville,New York
10,Dorothy,John,Johnson,1001,Agawam,Massachusetts
